metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.021760174601225,3.067701135,2.92618066,3.71799172
metric_CPU utilization %,96.72762265938655,99.574020961,1.68502206,100.08312229
metric_CPU utilization% in kernel mode,0.4534544659509199,0.7573946490000001,0.15828493,0.96520324
metric_CPI,0.8932584687116566,1.06941018,0.76654094,1.07056462
metric_kernel_CPI,3.0711944362576697,4.4803015470000025,2.0085456,4.9741571
metric_L1D MPI (includes data+rfo w/ prefetches),0.006434816871165644,0.010601547000000003,0.00277138,0.01486913
metric_L1D demand data read hits per instr,0.29129500625766885,0.31985264799999996,0.27030342,0.32009161
metric_L1-I code read misses (w/ prefetches) per instr,0.007249086319018408,0.017529585,0.00143623,0.02325663
metric_L2 demand data read hits per instr,0.0040000775460122704,0.007871441,0.00154675,0.00980768
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0013868141104294474,0.002550281,0.00015482,0.00315505
metric_L2 demand data read MPI,0.0006924838036809818,0.001675793,1.194e-05,0.00168132
metric_L2 demand code MPI,0.0001282149079754601,0.00026147200000000044,1.106e-05,0.00074557
metric_LLC data read MPI (demand+prefetch),0.0009042664417177919,0.00203861,2.894e-05,0.00205369
metric_LLC total HITM (per instr),7.361963190184047e-08,1.7500000000000028e-07,1e-08,1.5e-06
metric_LLC total HIT clean line forwards (per instr),2.72760736196319e-07,5.480000000000002e-07,1.2e-07,1.21e-06
metric_Average LLC data read miss latency (in clks),225.5110796068711,279.06531500900013,192.31646719,571.28654306
metric_Average LLC data read miss latency (in ns),97.80851949067478,104.92625845,47.08805698,114.84762694
metric_Average LLC data read miss latency for LOCAL requests (in ns),96.99433335122697,104.58571525900003,45.67860568,110.89230045
metric_Average LLC data read miss latency for REMOTE requests (in ns),281.2751835176074,300.102309422,153.73426996,323.56020794
metric_ITLB MPI,1.5489693251533734e-05,2.261300000000001e-05,3.97e-06,6.692e-05
metric_DTLB 2MB large page load MPI,4.852147239263804e-07,8.250000000000003e-07,9e-08,4.27e-06
metric_NUMA %_Reads addressed to local DRAM,99.5368831506135,99.94145600299998,95.66864191,99.9421433
metric_NUMA %_Reads addressed to remote DRAM,0.4631168493865029,2.020856298,0.0578567,4.33135809
metric_UPI Data transmit BW (MB/sec) (only data),54.16624883926379,76.03431822,6.4845774,132.6407544
metric_UPI Transmit utilization_% (includes control),0.21526354576687132,0.4544692790000001,0.01979218,1.03743416
metric_uncore frequency GHz,1.814928319263804,1.961566487,1.6973987,2.39942697
metric_package power (watts),403.60462576687104,409.4416,116.522,409.676
metric_DRAM power (watts),27.141435582822087,32.994,20.244,33.816
metric_core % cycles in non AVX license,99.37649002085892,99.97813513999999,95.25223263,99.98533509
metric_core % cycles in AVX2 license,0.6235099791411042,2.729407766000001,0.01466491,4.74776737
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),23509.43149294723,46026.213946879994,159.4147712,47248.6365312
metric_memory bandwidth write (MB/sec),2551.020956662576,3651.549232640001,22.260096,8990.2735744
metric_memory bandwidth total (MB/sec),26060.452449609813,49186.86782336,181.6748672,52752.5709568
metric_IO_bandwidth_disk_or_network_writes (MB/sec),0.8967849815950918,3.872299280000001,0.0,40.0271168
metric_IO_bandwidth_disk_or_network_reads (MB/sec),0.013970601226993867,0.06292344000000002,0.0,0.0989152
metric_TMAM_Info_CoreIPC,2.270565249079753,2.516704389,1.86817308,2.60912354
metric_TMAM_Frontend_Bound(%),33.3838857026994,37.833793402,27.81514829,43.48490061
metric_TMAM_Bad_Speculation(%),5.514896469263805,8.076683604,2.033219,9.86003549
metric_TMAM_Backend_bound(%),8.178703425214724,16.673764246,1.61748389,16.76649212
metric_TMAM_Retiring(%),53.09104189092021,59.194136742,44.02383899,60.89329328
