metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.614511372631579,2.6219230309999997,2.59516703,2.62319798
metric_CPU utilization %,99.93609157894738,105.285593362,93.87928496,106.46155822
metric_CPU utilization% in kernel mode,0.941377374736842,1.032149655,0.86432686,1.03440141
metric_CPI,0.6043507431578948,0.607983962,0.60074621,0.60917144
metric_kernel_CPI,6.174004474736844,6.495751466000001,5.18127559,6.55681796
metric_IPC,1.6546906263157892,1.663844876,1.64157399,1.66459643
metric_giga_instructions_per_sec,622.5786666684211,657.778004558,585.67096159,663.32669156
metric_L1D MPI (includes data+rfo w/ prefetches),0.0038830710526315793,0.0042253379999999995,0.00348548,0.00438876
metric_L1D demand data read hits per instr,0.2620448784210526,0.263631004,0.26068342,0.26405998
metric_L1-I code read misses (w/ prefetches) per instr,0.0042327289473684205,0.004834203,0.00390026,0.00508956
metric_L2 demand data read hits per instr,0.0015232936842105263,0.0018991469999999997,0.00132479,0.00202485
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0007237752631578947,0.000847052,0.00063435,0.00085706
metric_L2 demand data read MPI,0.00010866210526315792,0.00013661999999999998,8.563e-05,0.00013887
metric_L2 demand code MPI,2.3760526315789473e-05,2.6518e-05,2.084e-05,2.704e-05
metric_Average LLC data read miss latency (in clks),265.10588777526317,269.740347056,262.54020135,270.01600901
metric_UPI Data transmit BW (MB/sec) (only data),443.3189989515789,604.2595148749999,376.74918072,654.67826498
metric_package power (watts),499.30518861736846,500.368160168,497.91983525,513.36080666
metric_DRAM power (watts),24.581636300526316,25.654321337,24.11409647,26.46541895
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),21763.178312639473,26097.357735562993,19719.60096201,27029.81311466
metric_memory bandwidth write (MB/sec),5250.730899602632,7079.224039877999,4464.62482421,7573.60978599
metric_memory bandwidth total (MB/sec),27013.909212243154,33176.581775441,24490.08686433,34603.42290065
metric_ITLB (2nd level) MPI,1.4886315789473683e-05,1.5398e-05,1.406e-05,1.547e-05
metric_DTLB (2nd level) load MPI,1.4647368421052633e-06,1.5929999999999998e-06,1.36e-06,1.62e-06
metric_DTLB (2nd level) 2MB large page load MPI,1.1526315789473686e-07,1.4099999999999998e-07,1e-07,1.5e-07
metric_DTLB (2nd level) store MPI,1.869473684210526e-06,2.11e-06,1.56e-06,2.11e-06
metric_NUMA %_Reads addressed to local DRAM,98.39091186578946,98.577681359,97.93449928,98.67643025
metric_NUMA %_Reads addressed to remote DRAM,1.6090881342105263,1.9371011489999996,1.32356975,2.06550072
metric_uncore frequency GHz,0.7985593778947369,0.800276023,0.79628345,0.82075015
metric_TMA_Frontend_Bound(%),17.604442339473685,18.686344378999998,16.9403699,19.87202993
metric_TMA_..Fetch_Latency(%),11.556019035263159,11.63012982,11.35979063,11.64077457
metric_TMA_....ICache_Misses(%),0.6849063421052634,0.7058143870000001,0.6569157,0.70931554
metric_TMA_....ITLB_Misses(%),0.4830675278947369,0.503023581,0.45606504,0.50450472
metric_TMA_....Branch_Resteers(%),2.16305935631579,2.381556409,1.55435911,2.39991847
metric_TMA_......Mispredicts_Resteers(%),1.892370962631579,2.080681749,1.35003506,2.09923623
metric_TMA_......Clears_Resteers(%),0.053340651052631576,0.05708405,0.04196666,0.05710142
metric_TMA_......Unknown_Branches(%),0.21734774421052633,0.245435133,0.16105826,0.24659139
metric_TMA_..Fetch_Bandwidth(%),6.048423306315789,7.140906958999997,5.35362044,8.24308286
metric_TMA_Bad_Speculation(%),10.239772833157895,12.974243122999999,3.00751471,13.40290109
metric_TMA_..Branch_Mispredicts(%),9.959800698421054,12.641782647,2.91863282,13.05620985
metric_TMA_..Machine_Clears(%),0.2799721347368421,0.344995118,0.08888189,0.34669124
metric_TMA_Backend_Bound(%),8.675678011578947,9.177737716999996,8.15699808,10.63706969
metric_TMA_..Memory_Bound(%),1.8998665526315794,2.0205951729999994,1.78614059,2.32798498
